Kategorie;Produkt;Variante;Status;Apple aktuell €;17 % €;27 % €;Rabattregel;Früher 29.08.2026 €;Änderung Apple €;Hinweis
displays;Studio Display;Nanotexturglas · Neigungsverstellbarer Standfuß;Jetzt kaufen;1999.00;1658.86;1458.94;Apple/Beats 17 % / versteckt 27 %;1999.00;0.00;
displays;Studio Display;Nanotexturglas · VESA Mount Adapter;Jetzt kaufen;1999.00;1658.86;1458.94;Apple/Beats 17 % / versteckt 27 %;1999.00;0.00;
displays;Studio Display;Nanotexturglas · Neigungs- und höhenverstellbarer Standfuß;Jetzt kaufen;2399.00;1990.87;1751.68;Apple/Beats 17 % / versteckt 27 %;2399.00;0.00;
displays;Studio Display XDR;Standardglas · VESA Mount Adapter;Jetzt kaufen;3099.00;2571.59;2262.19;Apple/Beats 17 % / versteckt 27 %;3099.00;0.00;
displays;Studio Display XDR;Nanotexturglas · VESA Mount Adapter;Jetzt kaufen;3399.00;2821.49;2481.15;Apple/Beats 17 % / versteckt 27 %;3599.00;-200.00;
displays;Studio Display XDR;Standardglas · Pro Stand;Jetzt kaufen;3499.00;2903.60;2553.74;Apple/Beats 17 % / versteckt 27 %;4298.00;-799.00;
displays;Studio Display XDR;Nanotexturglas · Pro Stand;Jetzt kaufen;3799.00;3153.50;2772.70;Apple/Beats 17 % / versteckt 27 %;4798.00;-999.00;
watch;Apple Watch Series 11;42 mm · Aluminium · GPS · Sportarmband;Vorgänger;449.00;372.71;328.68;Apple/Beats 17 % / versteckt 27 %;449.00;0.00;Vorgängerpreis als Historie beibehalten.
watch;Apple Watch Series 11;46 mm · Aluminium · GPS · Sportarmband;Vorgänger;479.00;397.70;350.10;Apple/Beats 17 % / versteckt 27 %;479.00;0.00;Vorgängerpreis als Historie beibehalten.
watch;Apple Watch Series 11;42 mm · Aluminium · GPS + Cellular · Sportarmband;Vorgänger;569.00;472.67;415.55;Apple/Beats 17 % / versteckt 27 %;569.00;0.00;Vorgängerpreis als Historie beibehalten.
watch;Apple Watch Series 11;46 mm · Aluminium · GPS + Cellular · Sportarmband;Vorgänger;599.00;497.66;438.16;Apple/Beats 17 % / versteckt 27 %;599.00;0.00;Vorgängerpreis als Historie beibehalten.
watch;Apple Watch SE 3;40 mm · GPS · Sportarmband;Jetzt kaufen;269.00;222.77;196.59;Apple/Beats 17 % / versteckt 27 %;269.00;0.00;
watch;Apple Watch SE 3;44 mm · GPS · Sportarmband;Jetzt kaufen;299.00;247.77;219.20;Apple/Beats 17 % / versteckt 27 %;299.00;0.00;
